"","영화명","개봉일","누적관객수","스크린수","상영횟수","대표국적","배급사","17371"
"3311","그의 연인 프라이데이",NA,"23","1","1","미국",NA,2018-04-02
"3312","나이아가라",NA,"7535","1","1","미국",NA,2018-04-02
"3313","람보 2","31262","24","1","1","미국",NA,2018-04-02
"3314","애니","31765","33","1","1","미국",NA,2018-04-02
"3315","람보 3","32494","20","1","1","미국","트라이스타 픽쳐스",2018-04-02
"3316","아나스타샤","35784","4951","1","1","미국",NA,2018-04-02
"3317","이재수의 난","36337","0","1","1","한국","(주)시네마서비스",2018-04-02
"3318","K-19","37532","0","1","1","미국","(주)씨네월드",2018-04-02
"3319","삼손과 데릴라","27384","12232","1","1","미국",NA,2018-04-02
"3326","택시운전사","42949","10352984","1291","32066","한국","(주)쇼박스",2017-08-14
"3327","청년경찰","42956","3906404","1019","28156","한국","롯데쇼핑㈜롯데엔터테인먼트",2017-08-14
"3328","혹성탈출: 종의 전쟁","42962","1540913","1017","24257","미국","이십세기폭스코리아(주)",2017-08-14
"3329","애나벨 : 인형의 주인","42957","1753606","922","15463","미국","워너브러더스 코리아(주)",2017-08-14
"3330","장산범","42964","643962","711","10971","한국","(주)넥스트엔터테인먼트월드(NEW)",2017-08-14
"3331","슈퍼배드 3","42942","3251835","505","4439","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-08-14
"3332","빅풋 주니어","42956","256405","392","2570","벨기에","(주)이수C&E",2017-08-14
"3333","군함도","42942","6554420","471","2443","한국","씨제이이앤엠(주)",2017-08-14
"3334","극장판 도라에몽: 진구의 남극 꽁꽁 대모험","42957","153618","322","1745","일본","(주)넥스트엔터테인먼트월드(NEW)",2017-08-14
"3335","공범자들","42964","65970","208","1430","한국","(주)엣나인필름",2017-08-14
"3336","드래곤 스펠: 마법 꽃의 비밀","42962","58531","164","1452","독일","㈜코리아스크린",2017-08-14
"3337","덩케르크","42936","2750322","113","637","미국","워너브러더스 코리아(주)",2017-08-14
"3338","명탐정 코난:진홍의 연가","42949","445174","168","820","일본","씨제이이앤엠(주)",2017-08-14
"3339","파리로 가는 길","42950","81567","59","743","미국","(주)티캐스트",2017-08-14
"3340","내 사랑","42928","296821","47","502","아일랜드","오드",2017-08-14
"3341","예감은 틀리지 않는다","42957","29254","69","551","영국","CGV아트하우스",2017-08-14
"3342","하이큐!! 승자와 패자","42732","48671","78","433","일본","(주)이수C&E,(주)팝엔터테인먼트",2017-08-14
"3343","예수는 역사다","42929","161750","17","114","미국","(재)CBS",2017-08-14
"3344","레이디 맥베스","42950","20928","37","230","영국","주식회사 씨네룩스",2017-08-14
"3345","킹 오브 프리즘 - 프라이드 더 히어로","42896","80078","17","98","일본","(주)박수엔터테인먼트",2017-08-14
"3346","내일의 안녕","42964","4408","58","291","스페인","주식회사 더쿱,TCO(주)더콘텐츠온",2017-08-14
"3347","김광석","42977","4461","5","13","한국","(주)비엠컬쳐스",2017-08-14
"3348","극장판 짱구는 못말려 : 습격!! 외계인 덩덩이","42936","332411","22","72","일본","씨제이이앤엠(주)",2017-08-14
"3349","스파이더맨: 홈 커밍","42921","7256954","18","52","미국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2017-08-14
"3350","엘리자의 내일","42957","3901","23","139","루마니아","(주)영화사 진진",2017-08-14
"3351","브이아이피","42970","1634","4","6","한국","워너브러더스 코리아(주)",2017-08-14
"3352","샤우트","28126","1556","1","12","영국",NA,2017-08-14
"3353","이모티: 더 무비","42949","38668","29","124","미국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2017-08-14
"3354","옥자","42915","320499","11","96","미국","(주)넥스트엔터테인먼트월드(NEW)",2017-08-14
"3355","황금 주먹",NA,"1390","1","15","미국",NA,2017-08-14
"3356","프란츠","42936","19710","12","83","프랑스","찬란",2017-08-14
"3357","클레오파트라",NA,"7092","1","9","미국",NA,2017-08-14
"3358","플립","42928","354168","9","48","미국","(주)팝엔터테인먼트",2017-08-14
"3359","노래로 쏘아 올린 기적","42964","1386","13","63","팔레스타인","(주)올댓시네마 플러스,(주)미로스페이스",2017-08-14
"3360","박열","42914","2358774","7","38","한국","메가박스(주)플러스엠",2017-08-14
"3361","더 테이블","42971","890","5","9","한국","(주)엣나인필름",2017-08-14
"3362","벨과 세바스찬 계속되는 모험","42957","3473","28","103","프랑스","C 무비",2017-08-14
"3363","카3: 새로운 도전","42929","487667","5","20","미국","월트디즈니컴퍼니코리아 유한책임회사",2017-08-14
"3364","서서평, 천천히 평온하게","42851","122117","3","5","한국","커넥트픽쳐스(주)",2017-08-14
"3365","미션 이스탄불","42964","827","29","133","독일","(주)영화사오원",2017-08-14
"3366","극장판 위 베어 베어스: 곰 브라더스","42971","618","2","3","미국","(주)팝엔터테인먼트",2017-08-14
"3367","로우","42952","1340","5","13","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-08-14
"3368","올 아이즈 온 미","42971","804","2","2","미국","(주)영화사 그램",2017-08-14
"3369","내가 죽기 전에 가장 듣고 싶은 말","42935","44834","6","14","미국","(주)메인타이틀픽쳐스,주식회사 키위컴퍼니",2017-08-14
"3370","불온한 당신","42936","4057","7","54","한국","무브먼트",2017-08-14
"3371","혼도",NA,"2029","1","6","미국",NA,2017-08-14
"3372","암고양이들","42943","1023","19","20","일본","홀리가든,(주)오렌지옐로우하임",2017-08-14
"3373","주디와 데이트",NA,"412","1","15","미국",NA,2017-08-14
"3374","라 트라비아타","42952","1268","10","18","미국","(주)인스터피씨엠",2017-08-14
"3375","미워도 다시 한번 2",NA,"3636","1","10","한국",NA,2017-08-14
"3376","다윗과 밧세바",NA,"3365","1","4","미국",NA,2017-08-14
"3377","모호크족의 북소리",NA,"2185","1","6","미국",NA,2017-08-14
"3378","황진이","31673","5966","1","6","한국",NA,2017-08-14
"3379","여자들","42950","2917","18","96","한국","㈜인디스토리",2017-08-14
"3380","두 엄마","42961","350","20","22","한국","(주)소나무픽쳐스",2017-08-14
"3381","나바론 요새","27230","9071","1","3","미국",NA,2017-08-14
"3382","송 투 송","42942","22432","7","37","미국","CGV아트하우스",2017-08-14
"3383","파리 시청 앞에서의 키스: 로베르 두아노","42971","328","1","2","프랑스","(주)영화사 진진",2017-08-14
"3384","우리들","42537","49269","1","5","한국","(주)엣나인필름",2017-08-14
"3385","제인 도","42970","314","2","3","영국","오퍼스픽쳐스",2017-08-14
"3386","밤섬해적단 서울불바다","42971","524","2","2","한국","찬란",2017-08-14
"3387","빅뱅 메이드","42551","56200","1","2","한국","씨제이 씨지브이(CJ CGV)(주)",2017-08-14
"3388","장 르누아르 특별전-황금마차","39516","1870","1","5","이탈리아",NA,2017-08-14
"3389","미스터 쉐프","42965","293","1","12","중국","즐감",2017-08-14
"3390","노트르담 드 파리","43040","285","1","1","한국","(주)패뷸러스",2017-08-14
"3391","트로이의 헤렌",NA,"3272","1","6","미국",NA,2017-08-14
"3392","그림자 군단",NA,"530","1","3","프랑스",NA,2017-08-14
"3393","기쿠지로의 여름","37498","1980","2","3","일본","(주)영화사 진진,(주)튜브엔터테인먼트",2017-08-14
"3394","추억의 불야성",NA,"229","1","14","영국",NA,2017-08-14
"3395","영광의 탈출",NA,"6147","1","2","미국",NA,2017-08-14
"3396","청원","40849","78741","1","5","인도","이언픽쳐스,씨너스엔터테인먼트(주)",2017-08-14
"3397","유리씨즈","27755","9888","1","3","이탈리아",NA,2017-08-14
"3398","암캐",NA,"222","1","3","프랑스",NA,2017-08-14
"3399","연산군","22647","5170","1","12","한국",NA,2017-08-14
"3400","노인과 바다",NA,"2977","1","10","미국",NA,2017-08-14
"3401","슈퍼오리 : 태양을 지켜라","42978","208","1","1","러시아","와이드 릴리즈(주)",2017-08-14
"3402","매혹당한 사람들","42984","195","1","2","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-08-14
"3403","석조저택 살인사건","42864","353235","1","1","한국","씨네그루(주)키다리이엔티",2017-08-14
"3404","유주얼 서스펙트","35091","6944","1","3","미국","와이드 릴리즈(주)",2017-08-14
"3405","꿈의 제인","42886","24683","3","11","한국","(주)엣나인필름,CGV아트하우스",2017-08-14
"3406","오즈: 신기한 마법가루","42936","78201","1","3","러시아","(주)스마일이엔티",2017-08-14
"3407","부르주아의 은밀한 매력",NA,"719","1","2","프랑스",NA,2017-08-14
"3408","이터널 선샤인","38666","498493","1","4","미국","(주)노바미디어,코리아픽쳐스(주)",2017-08-14
"3409","일식",NA,"2949","1","2","이탈리아",NA,2017-08-14
"3410","전쟁과 평화","28395","12370","1","4","미국",NA,2017-08-14
"3411","앨리스",NA,"219","1","2","잉글랜드",NA,2017-08-14
"3412","정사2: 친구 새엄마-감독판","42963","154","19","20","한국","(주)케이알씨지",2017-08-14
"3413","마리안느와 마가렛","42845","28253","1","1","한국","(주)팝엔터테인먼트",2017-08-14
"3414","형제는 용감하였다",NA,"2638","1","12","미국",NA,2017-08-14
"3415","재꽃","42922","5254","4","21","한국","딥 포커스",2017-08-14
"3416","율리시즈의 시선","35357","208","1","1","그리스",NA,2017-08-14
"3417","풀 스피드","42971","142","1","1","프랑스","(주)스마일이엔티",2017-08-14
"3418","황야의 무뢰한",NA,"139","1","4","이탈리아",NA,2017-08-14
"3419","황야는 통곡한다","25957","134","1","4","미국",NA,2017-08-14
"3420","꼬마돼지 베이브의 대모험","42901","42690","1","2","독일","(주)박수엔터테인먼트",2017-08-14
"3421","아메리칸 허니: 방황하는 별의 노래","42929","8894","2","7","영국","(주)티캐스트",2017-08-14
"3422","헤드윅","37477","42063","2","5","미국","(주)엣나인필름,(주)씨네월드",2017-08-14
"3423","3분 파트너","42964","127","17","19","한국","스마일컨텐츠",2017-08-14
"3424","낮잠 공주 : 모르는 나의 이야기","42971","126","1","1","일본","와이드 릴리즈(주)",2017-08-14
"3425","올 리브 올리브","42929","2281","3","7","한국","(주)시네마달",2017-08-14
"3426","일 트로바토레 잘츠부르크 페스티벌","42210","1561","7","10","독일","(주)케빈앤컴퍼니",2017-08-14
"3427","쾌락의 공범자들",NA,"119","1","2","체코",NA,2017-08-14
"3428","무정",NA,"355","1","2","한국",NA,2017-08-14
"3429","희미한 곰별자리",NA,"666","1","2","이탈리아",NA,2017-08-14
"3430","파란나비효과","42908","4867","1","1","한국","(주)인디플러그",2017-08-14
"3431","헛소동","42943","1220","4","11","미국","㈜영화사 백두대간",2017-08-14
"3432","메멘토","37127","16775","1","2","미국","(주)팝엔터테인먼트",2017-08-14
"3433","매치 포인트","38820","132512","1","4","영국","(주)퍼스트런,글뫼 주식회사,씨제이엔터테인먼트",2017-08-14
"3434","47 미터","42935","590007","18","22","영국","씨네그루(주)키다리이엔티",2017-08-14
"3435","2006 [통합]영화제/기획전/회고전 등",NA,"106393","1","7",NA,NA,2017-08-14
"3436","아가씨(확장판)",NA,"12882","1","1","한국",NA,2017-08-14
"3437","그 후","42922","18459","4","15","한국","(주)영화제작전원사 ,(주)콘텐츠판다",2017-08-14
"3438","장고",NA,"91","1","4",NA,NA,2017-08-14
"3439","비포 선셋","38282","126178","1","1","미국","THE 픽쳐스,워너브러더스 코리아(주)",2017-08-14
"3440","분노","42824","29146","1","2","일본","메가박스(주)플러스엠",2017-08-14
"3441","비포 선라이즈","35154","56959","1","1","미국","(주)드림팩트엔터테인먼트",2017-08-14
"3442","역마차",NA,"5615","1","1","미국",NA,2017-08-14
"3443","사기당한 사람들",NA,"202","1","1","미국",NA,2017-08-14
"3444","길","42866","16287","2","24","한국","(주)더블앤조이픽쳐스",2017-08-14
"3445","라라랜드","42711","3507856","1","1","미국","판씨네마(주)",2017-08-14
"3446","공동경비구역 JSA","36777","1089","1","1","한국","씨제이엔터테인먼트",2017-08-14
"3447","화이트 릴리","42964","306","3","9","일본","홀리가든,(주)오렌지옐로우하임",2017-08-14
"3448","박쥐","39933","2206782","1","1","한국","씨제이엔터테인먼트",2017-08-14
"3449","그랜드 듀얼",NA,"77","1","2","이탈리아",NA,2017-08-14
"3450","오두막","42845","75370","1","5","미국","판씨네마(주)",2017-08-14
"3451","친절한 금자씨","38562","3120654","1","1","한국","씨제이엔터테인먼트",2017-08-14
"3452","피서지에서 생긴 일","26530","8526","1","3","미국",NA,2017-08-14
"3453","꼬마참새 리차드: 아프리카 원정대","42901","80894","1","2","독일","씨네그루(주)키다리이엔티",2017-08-14
"3454","벨벳 골드마인","36400","5815","1","1","영국","(주)엔케이컨텐츠",2017-08-14
"3455","백만불의 인어",NA,"64","1","1","미국",NA,2017-08-14
"3456","광기",NA,"63","1","2","체코",NA,2017-08-14
"3457","아프리칸 닥터","42677","2333","1","1","프랑스","M&M 인터내셔널",2017-08-14
"3458","파라메딕스","42964","60","1","1","미국","(주)제이에이와이이엔터테인먼트",2017-08-14
"3459","댄서","42838","44750","1","3","영국","(주)엣나인필름",2017-08-14
"3460","더 라스트 잡","42964","60","1","1","미국","(주)제이에이와이이엔터테인먼트",2017-08-14
"3461","모스트 데인저러스 게임","42964","60","1","1","미국","(주)제이에이와이이엔터테인먼트",2017-08-14
"3462","황야의 난폭자",NA,"122","1","3","이탈리아",NA,2017-08-14
"3463","비포 미드나잇","41416","209391","1","1","미국","(주)팝엔터테인먼트",2017-08-14
"3464","군중",NA,"241","1","1","미국",NA,2017-08-14
"3465","우리를 침범하는 것들","42936","5153","2","6","영국","그린나래미디어(주)",2017-08-14
"3466","살아남아라",NA,"53","1","1","체코",NA,2017-08-14
"3467","더 록","35259","53","1","2","미국",NA,2017-08-14
"3468","대구단편영화제 배우목격담 김새벽",NA,"52","1","2","한국",NA,2017-08-14
"3469","노틀담의 꼽추",NA,"80","1","1","미국",NA,2017-08-14
"3470","천국보다 낯선","35014","2425","1","1","미국","(주)영화사 안다미로",2017-08-14
"3471","오테사넥",NA,"52","1","1","체코",NA,2017-08-14
"3472","좋은 아버지",NA,"87","1","1","프랑스",NA,2017-08-14
"3473","3류들의 사랑","42965","50","1","1","일본","(주)나우콘텐츠",2017-08-14
"3474","분신사바: 친구의 저주","42967","50","1","1","중국","(주)나우콘텐츠",2017-08-14
"3475","툼디: 부러진 검의 전설","42950","283","2","6","태국","봄바람영화사",2017-08-14
"3476","다크 나이트","39666","4174883","1","5","미국","주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",2017-08-14
